review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county_equivalent,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes,target_normalized_name,exclusion_reason,supersedes_review_id
cororeview_44c9e2dc7c134c49115f,Amazing Grace Crop Maze,amazing grace crop maze,corroborate,C,farm,Clay,Green Cove Springs,32043,U-pick crops; agritourism,U-pick; agritourism,https://www.agcropmaze.com,https://www.agcropmaze.com,2026-07-17,"A farm-owned website returned current-year activity language near sales, season, ordering, harvest, visiting, or availability terms; three hashed fetch attempts were retained for curator review.",Accepted by curator after reviewing three SHA-256 fetch hashes and the cited 2026 active excerpt.,,,
cororeview_84751ed1d56bc245eeff,Ever After Farms U-Pick Peach Farm,ever after farms u pick peach farm,corroborate,C,farm,Brevard,Mims,32754,U-pick crops; agritourism,U-pick; agritourism,https://www.everafterfarms.com/u-pick-peaches/,https://www.everafterfarms.com/u-pick-peaches/,2026-07-17,"A farm-owned website returned current-year activity language near sales, season, ordering, harvest, visiting, or availability terms; three hashed fetch attempts were retained for curator review.",Accepted by curator after reviewing three SHA-256 fetch hashes and the cited 2026 active excerpt.,,,
cororeview_64afdd1e0f72137e6b88,Bluebird Family Farm,bluebird family farm,corroborate,C,farm,Hillsborough,Plant City,33565,U-pick crops; agritourism,U-pick; agritourism,https://www.bffberries.com/,https://www.bffberries.com/,2026-07-17,"A farm-owned website returned current-year activity language near sales, season, ordering, harvest, visiting, or availability terms; three hashed fetch attempts were retained for curator review.",Accepted by curator after reviewing three SHA-256 fetch hashes and the cited 2026 active excerpt.,,,
cororeview_5871e96e099fc73b7222,Jennings Road Farm,jennings road farm,corroborate,C,farm,Manatee,Myakka,34251,U-pick crops; agritourism,U-pick; agritourism,http://www.JenningsRoadFarm.com,http://www.JenningsRoadFarm.com,2026-07-17,"A farm-owned website returned current-year activity language near sales, season, ordering, harvest, visiting, or availability terms; three hashed fetch attempts were retained for curator review.",Accepted by curator after reviewing three SHA-256 fetch hashes and the cited 2026 active excerpt.,,,
cororeview_f43c8c12619f1d03a18e,Lithia Berry Farms,lithia berry farms,corroborate,C,farm,Hillsborough,Lithia,33547,U-pick crops; agritourism,U-pick; agritourism,https://lithiaberryfarms.com/,https://lithiaberryfarms.com/,2026-07-17,"A farm-owned website returned current-year activity language near sales, season, ordering, harvest, visiting, or availability terms; three hashed fetch attempts were retained for curator review.",Accepted by curator after reviewing three SHA-256 fetch hashes and the cited 2026 active excerpt.,,,
cororeview_10fcafc9afab65bb45b2,Amber Brooke Farms,amber brooke farms,corroborate,C,farm,Levy,Williston,32696,U-pick crops; agritourism,U-pick; agritourism,https://amberbrookefarms.com/,https://amberbrookefarms.com/,2026-07-17,"A farm-owned website returned current-year activity language near sales, season, ordering, harvest, visiting, or availability terms; three hashed fetch attempts were retained for curator review.",Accepted by curator after reviewing three SHA-256 fetch hashes and the cited 2026 active excerpt; geography remains queued.,,,
cororeview_8d73cf66da31d4ed47f3,Amazing Grace Family Farms - Home of Amazing Grace Crop Maze,amazing grace family farms home of amazing grace crop maze,corroborate,C,farm,Clay,Green Cove Springs,32043,U-pick crops; agritourism,U-pick; agritourism,https://www.agcropmaze.com,https://www.agcropmaze.com,2026-07-17,"A farm-owned website returned current-year activity language near sales, season, ordering, harvest, visiting, or availability terms; three hashed fetch attempts were retained for curator review.",Accepted by curator after reviewing three SHA-256 fetch hashes and the cited 2026 active excerpt.,,,
qa-judgment-20260717-fl-91d046075d,Blueberry Hill Farm,blueberry hill farm,distinct,B,farm,Lake,Clermont,34714,U-pick crops; agritourism; produce,FDACS U-pick farm; US Farm Trail discovery record,,https://www.fdacs.gov/Consumer-Resources/Buy-Fresh-From-Florida/U-Pick-Farms/Blueberry-Hill-Farm,2026-07-17,"The retained source record places Blueberry Hill Farm in Lake / Clermont; the peer entity set is FL-67843115B8 (Putnam, Crescent City). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-fl-f647dcfa9a,Bramble Creek Farms,bramble creek farms,corroborate,C,farm,Hernando,Brooksville,34602,Fruits; U-pick crops; agritourism,Florida producer profile; FDACS U-pick farm; U-pick; agritourism; US Farm Trail discovery record,http://www.bramblecreekfarms.com,https://bramblecreekfarms.com/,2026-07-17,"The farm-owned site identifies Bramble Creek Farms at the same Brooksville address and describes its direct-to-consumer blackberry, fig, and passion-fruit operation; the older closure flag is not affirmative closure evidence.",Current evidence supersedes an absence-based or stale closure flag; no exclusion is recorded.,,,
qa-judgment-20260717-fl-3d31ac0971,Gainer Blueberry Farm,gainer blueberry farm,corroborate,B,farm,Washington,Chipley,32428,U-pick crops; agritourism; produce,FDACS U-pick farm; U-pick; agritourism; US Farm Trail discovery record,http://gainerblueberryfarm.com/,https://www.fdacs.gov/Consumer-Resources/Buy-Fresh-From-Florida/U-Pick-Farms/Gainer-Blueberry-Farm,2026-07-17,"The current Florida Department of Agriculture and Consumer Services U-pick profile lists Gainer Blueberry Farm at 2876 Orange Hill Road with phone, website, email, and call-ahead availability; the prior closure flag is superseded by current official evidence.",Current evidence supersedes an absence-based or stale closure flag; no exclusion is recorded.,,,
